Year;Site;Species;Iteration;PTD;Biweek;Global_radiation;Min_Temperature;Max_temperature;Av_temperature;Relative humidity;Precipitation;Vapor_pressure_deficit
2020;KS;Betula;188;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;BB;Populus;189;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;192;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;194;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;195;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;200;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2018;BB;Populus;107;236;17;4621.99;10.2;15.4;12.5;77.19;8.41;0.36
2019;BB;Populus;24;238;17;10806.35;13.9;30.8;23.6;49.62;0;2.01
2019;BB;Populus;39;238;17;10806.35;13.9;30.8;23.6;49.62;0;2.01
2019;BB;Populus;90;238;17;10806.35;13.9;30.8;23.6;49.62;0;2.01
2019;BB;Populus;97;238;17;10806.35;13.9;30.8;23.6;49.62;0;2.01
2019;BB;Populus;99;238;17;10806.35;13.9;30.8;23.6;49.62;0;2.01
2019;BB;Populus;121;238;17;10806.35;13.9;30.8;23.6;49.62;0;2.01
2019;BB;Populus;125;238;17;10806.35;13.9;30.8;23.6;49.62;0;2.01
2019;BB;Populus;140;238;17;10806.35;13.9;30.8;23.6;49.62;0;2.01
2019;BB;Populus;148;238;17;10806.35;13.9;30.8;23.6;49.62;0;2.01
2019;BB;Populus;156;238;17;10806.35;13.9;30.8;23.6;49.62;0;2.01
2019;BB;Populus;169;238;17;10806.35;13.9;30.8;23.6;49.62;0;2.01
2019;BB;Populus;176;238;17;10806.35;13.9;30.8;23.6;49.62;0;2.01
2019;BB;Populus;188;238;17;10806.35;13.9;30.8;23.6;49.62;0;2.01
2019;BB;Populus;195;238;17;10806.35;13.9;30.8;23.6;49.62;0;2.01
2019;BB;Populus;196;238;17;10806.35;13.9;30.8;23.6;49.62;0;2.01
2019;BB;Populus;34;240;17;8407.88;18.0;26.7;21.9;70.62;0.58;0.90
2018;BB;Populus;117;242;17;6501.25;13.1;19.0;15.7;57.81;0.435;0.86
2019;KS;Fagus;125;243;17;10481.45;9.0;29.1;19.4;47.54;0;1.74
2019;KS;Betula;104;243;17;10481.45;9.0;29.1;19.4;47.54;0;1.74
2019;KS;Betula;180;243;17;10481.45;9.0;29.1;19.4;47.54;0;1.74
2019;KS;Betula;198;243;17;10481.45;9.0;29.1;19.4;47.54;0;1.74
2018;BB;Populus;27;243;17;5973.35;11.0;18.9;14.8;57.85;0;0.83
2018;BB;Populus;29;243;17;5973.35;11.0;18.9;14.8;57.85;0;0.83
2018;BB;Populus;102;243;17;5973.35;11.0;18.9;14.8;57.85;0;0.83
2018;BB;Populus;118;243;17;5973.35;11.0;18.9;14.8;57.85;0;0.83
2018;BB;Populus;125;243;17;5973.35;11.0;18.9;14.8;57.85;0;0.83
2018;BB;Populus;10;244;17;6455.78;10.3;20.2;15.5;52.27;0;1.02
2018;BB;Populus;19;244;17;6455.78;10.3;20.2;15.5;52.27;0;1.02
2018;BB;Populus;22;244;17;6455.78;10.3;20.2;15.5;52.27;0;1.02
2018;BB;Populus;24;244;17;6455.78;10.3;20.2;15.5;52.27;0;1.02
2018;BB;Populus;134;244;17;6455.78;10.3;20.2;15.5;52.27;0;1.02
